min_lng_rank,min_lat_rank,max_lng_rank,max_lat_rank,num_squares,county,ttl,pre_mult,mult,sqrt_mult,mid_lng_rank,mid_lat_rank,lat_rank_range,scaled_min_lat_rank,scaled_max_lat_rank,lng_rank_range,scaled_min_lng_rank,scaled_max_lng_rank,new_mid_lat_rank,new_mid_lng_rank,dummy
58.0,41.0,62.0,51.0,39,Saratoga,10035,257.3076923076923,96.9080919080919,9.844190769590556,60.0,46.0,11.0,127.24885229052809,235.53495075602422,5.0,116.34875193177243,165.5697057797252,181.39190152327615,140.95922885574882,1
56.0,40.0,60.0,43.0,10,Schenectady,8209,820.9,309.1701298701298,17.583234340420134,58.0,41.5,4.0,58.693507775601034,129.02644513728157,5.0,165.79234759868478,253.70851930078544,93.8599764564413,209.7504334497351,1
52.0,34.0,57.0,41.0,29,Schoharie,1160,40.0,15.064935064935064,3.881357374029743,54.5,37.5,8.0,75.95697464160291,107.00783363384086,6.0,50.05192347211505,73.3400677162935,91.48240413772189,61.69599559420428,1
29.0,32.0,32.0,36.0,16,Schuyler,876,54.75,20.620129870129873,4.540939315838725,30.5,34.0,5.0,47.14300806786447,69.8477046470581,4.0,-12.99370939810457,5.170047865250329,58.49535635746128,-3.9118307664271206,1
30.0,37.0,32.0,44.0,15,Seneca,1668,111.2,41.880519480519474,6.471516010991511,31.0,40.5,8.0,70.11479780471493,121.88692589264701,3.0,-26.385986725091584,-6.971438692117049,96.00086184868097,-16.678712708604316,1
41.0,63.0,53.0,78.0,138,St Lawrence,3837,27.80434782608696,10.471767363071711,3.2360110264138022,47.0,70.5,16.0,123.45739238106822,175.23356880368905,13.0,2.558747432248367,44.6268907756278,149.34548059237864,23.592819103938083,1
22.0,28.0,29.0,37.0,68,Steuben,2740,40.29411764705883,15.17570664629488,3.8956009351953496,25.5,32.5,10.0,8.714710853382726,47.670720205336224,8.0,-32.14120031869753,-0.9763928371347319,28.192715529359475,-16.55879657791613,1
64.0,4.0,79.0,15.0,48,Suffolk,65213,1358.6041666666667,511.6820887445887,22.620390994511762,71.5,9.5,12.0,-200.2445430229593,71.20014891118183,16.0,258.3086283075547,620.2348842197429,-64.52219705588874,439.2717562636488,1
48.0,18.0,54.0,27.0,48,Sullivan,3813,79.4375,29.91801948051948,5.469736692064754,51.0,22.5,10.0,-14.87856963796304,39.8187972826845,7.0,0.18963351531878558,38.47779035977206,12.47011382236073,19.333711937545424,1
34.0,28.0,38.0,34.0,24,Tioga,1800,75.0,28.246753246753244,5.314767468737767,36.0,31.0,7.0,-28.003152519852197,9.200219761312166,5.0,-90.55692702393006,-63.98308968024122,-9.401466379270015,-77.27000835208564,1
33.0,33.0,36.0,37.0,19,Tompkins,10634,559.6842105263158,210.79015721120984,14.518614162901699,34.5,35.0,5.0,-108.64522394498795,-36.05215313047946,4.0,-123.92368579998981,-65.84922914838302,-72.34868853773371,-94.88645747418641,1
52.0,21.0,59.0,29.0,56,Ulster,16474,294.17857142857144,110.79452690166977,10.52589791427172,55.5,25.0,9.0,-45.962553961589364,48.77052726685612,8.0,98.34815913993451,182.55534245410826,1.4039866526333782,140.4517507970214,1
57.0,49.0,63.0,57.0,43,Warren,2382,55.3953488372093,20.86318332829961,4.567623378552527,60.0,53.0,9.0,113.55553161082327,154.664142017796,7.0,79.4618363671656,111.43520001703331,134.10983681430963,95.44851819209946,1
63.0,44.0,66.0,57.0,41,Washington,2014,49.121951219512205,18.500475134621478,4.301217866444511,64.5,50.5,14.0,153.63181972450678,213.8488698547299,4.0,44.181285714378454,61.386157180156495,183.74034478961835,52.783721447267475,1
26.0,45.0,32.0,49.0,31,Wayne,2258,72.83870967741936,27.432760787599502,5.237629309869066,29.0,47.0,5.0,75.27589471458518,101.46404126393051,7.0,5.457502495376765,42.120907664460226,88.36996798925784,23.789205079918496,1
60.0,9.0,63.0,16.0,22,Westchester,85187,3872.136363636364,1458.33707201889,38.18817974215175,61.5,12.5,8.0,-342.488596279416,-36.98315834220196,4.0,69.86150835787863,222.61422732648566,-189.73587731080897,146.23786784218214,1
15.0,37.0,19.0,42.0,30,Wyoming,899,29.966666666666665,11.286147186147184,3.3594861491226875,17.0,39.5,6.0,47.59096632150123,67.74788321623735,5.0,-12.375162955586523,4.422267790026913,57.66942476886929,-3.9764475827798056,1
26.0,36.0,30.0,40.0,17,Yates,815,47.941176470588225,18.055767761650113,4.24920789814409,28.0,38.0,5.0,47.693225566138494,68.93926505685894,5.0,-19.180250888653465,2.0657886020669842,58.31624531149872,-8.55723114329324,1
