county_name,lat,lng,state,lng_rank,lat_rank,nyc,min_lng_rank,min_lat_rank,max_lng_rank,max_lat_rank,num_squares,county,ttl,pre_mult,mult,sqrt_mult,mid_lng_rank,mid_lat_rank,scaled_lng_rank,scaled_lat_rank,test_lat_rank,test_lng_rank,new_scaled_lat_rank,new_scaled_lng_rank,square_id,min_new_scaled_lat_rank,min_new_scaled_lng_rank,max_new_scaled_lat_rank,max_new_scaled_lng_rank,dummy,prop_scaled_lat_rank,prop_scaled_lng_rank,min_prop_scaled_lat_rank,min_prop_scaled_lng_rank,max_prop_scaled_lat_rank,max_prop_scaled_lng_rank
Ontario,42.9208860759,-77.3256962025,NY,26.0,43.0,False,24.0,38.0,29.0,45.0,29,Ontario,4870,167.9310344827586,63.24675324675325,7.952782736046123,26.5,41.5,22.023608631976934,54.929174104069176,12820.304341262627,7751.811927275078,12520.174126138465,12317.713945437912,28,12816.327949894603,7747.835535907056,12824.28073263065,7755.788318643101,1,12520.174126138465,12317.713945437912,12516.197734770441,12313.737554069889,12524.150517506489,12321.690336805936
Orleans,43.1543037975,-78.34341772149999,NY,16.0,47.0,False,15.0,47.0,19.0,50.0,20,Orleans,833,41.65,15.686363636363636,3.9606014235673386,17.0,48.5,12.03939857643266,41.05909786464899,14012.89079161264,4770.345801400048,12474.616706836821,13490.469930290912,29,14010.910490900857,4768.365500688265,14014.871092324425,4772.3261021118315,1,12474.616706836821,13490.469930290912,12472.636406125037,13488.489629579128,12476.597007548606,13492.450231002696
Columbia,42.1039240506,-73.5601265823,NY,63.0,29.0,False,60.0,27.0,64.0,35.0,31,Columbia,4951,159.70967741935485,60.150397989107674,7.7556687647879645,62.0,31.0,70.75566876478797,13.488662470424073,8646.251765037587,18783.23659301269,12183.053103762375,13685.987985998045,30,8642.373930655192,18779.358758630297,8650.12959941998,18787.114427395085,1,12669.360674240226,12253.843267445698,12665.482839857832,12249.965433063304,12673.23850862262,12257.721101828092
Warren,43.504430379700004,-74.0689873418,NY,58.0,53.0,False,57.0,49.0,63.0,57.0,43,Warren,2382,55.3953488372093,20.86318332829961,4.567623378552527,60.0,53.0,48.864753242894956,53.0,15801.77046713766,17292.50353007517,12819.226306989023,13657.820071935537,31,15799.486655448383,17290.21971838589,15804.054278826936,17294.787341764448,1,12819.226306989023,13657.820071935537,12816.942495299747,13655.536260246261,12821.5101186783,13660.103883624814
Rensselaer,42.8625316456,-73.5601265823,NY,63.0,42.0,False,61.0,36.0,65.0,43.0,32,Rensselaer,7983,249.46875,93.95576298701296,9.693078096611671,63.0,39.5,63.0,66.23269524152919,12522.157728675125,18783.23659301269,12678.633949880348,12247.434379428158,32,12517.31118962682,18778.390053964384,12527.00426772343,18788.083132060998,1,12182.334238093501,13704.673358027201,12177.487699045196,13699.826818978896,12187.180777141806,13709.519897075506
St Lawrence,44.9049367089,-74.6796202532,NY,52.0,77.0,False,41.0,63.0,53.0,78.0,138,St Lawrence,3837,27.80434782608696,10.471767363071711,3.2360110264138022,47.0,70.5,68.180055132069,98.03407167168972,22957.28916923773,15503.623854550156,12344.137133757253,12625.638744136757,33,22955.671163724524,15502.00584903695,22958.907174750937,15505.241860063363,1,12344.137133757253,12625.638744136757,12342.519128244046,12624.02073862355,12345.755139270459,12627.256749649963
Cattaraugus,42.0455696203,-78.6487341772,NY,13.0,28.0,False,9.0,28.0,16.0,36.0,67,Cattaraugus,2232,33.3134328358209,12.546617561542936,3.542120489416323,12.5,32.0,14.771060244708162,13.831518042334707,8348.105152450084,3875.905963637539,12453.29656005517,12174.02442225394,34,8346.334092205376,3874.134903392831,8349.876212694791,3877.6770238822473,1,12453.29656005517,12174.02442225394,12451.525499810463,12172.253362009233,12455.067620299878,12175.795482498648
Genesee,42.9792405063,-78.2416455696,NY,17.0,44.0,False,15.0,43.0,20.0,46.0,24,Genesee,1492,62.16666666666666,23.413419913419908,4.838741562991344,17.5,44.5,14.58062921850433,41.58062921850433,13118.450953850132,5068.492413987551,12677.822109426832,12618.643607715827,35,13116.031583068636,5066.073043206055,13120.870324631627,5070.911784769047,1,12677.822109426832,12618.643607715827,12675.402738645336,12616.224236934331,12680.241480208328,12621.062978497323
Erie,42.570759493699995,-79.0558227848,NY,9.0,37.0,False,9.0,35.0,14.0,46.0,48,Erie,75624,1575.5,593.3701298701299,24.35918984428936,11.5,40.5,-51.8979746107234,-48.25716445501277,11031.424665737612,2683.3195132875267,12409.847894056034,10699.667463069964,36,11019.245070815467,2671.139918365382,11043.604260659757,2695.4991082096712,1,12455.625595226671,12908.5339019261,12443.446000304526,12896.354307003954,12467.805190148816,12920.713496848244
Delaware,42.1039240506,-74.6796202532,NY,52.0,29.0,False,45.0,25.0,54.0,35.0,70,Delaware,1949,27.84285714285714,10.486270871985157,3.2382512058185284,49.5,30.0,60.09562801454632,25.76174879418147,8646.251765037587,15503.623854550156,12992.884559579203,12747.277350172175,37,8644.632639434678,15502.004728947248,8647.870890640495,15505.242980153065,1,12992.884559579203,12747.277350172175,12991.265433976294,12745.658224569266,12994.503685182111,12748.896475775084
St Lawrence,44.3797468354,-75.18848101270001,NY,47.0,68.0,False,41.0,63.0,53.0,78.0,138,St Lawrence,3837,27.80434782608696,10.471767363071711,3.2360110264138022,47.0,70.5,47.0,59.90997243396549,20273.969655950204,14012.89079161264,13233.715175272308,13080.13023058472,38,20272.351650436998,14011.272786099435,20275.58766146341,14014.508797125847,1,13233.715175272308,13080.13023058472,13232.097169759101,13078.512225071514,13235.333180785514,13081.748236097927
