county_name,min_lng_rank,min_lat_rank,max_lng_rank,max_lat_rank,num_squares,county,ttl,pre_mult,mult,sqrt_mult,mid_lng_rank,mid_lat_rank,lat_rank_range,scaled_min_lat_rank,scaled_max_lat_rank,lng_rank_range,scaled_min_lng_rank,scaled_max_lng_rank
Otsego,45.0,33.0,52.0,42.0,51,Otsego,3129,61.35294117647059,23.106951871657753,4.806969094102619,48.5,37.5,10.0,13.465154529486906,61.53484547051309,8.0,29.272123623589525,67.72787637641048
Putnam,60.0,16.0,63.0,19.0,11,Putnam,5719,519.9090909090909,195.80991735537188,13.993209687393806,61.5,17.5,4.0,-10.486419374787612,45.486419374787616,4.0,33.513580625212384,89.48641937478762
Queens,60.0,4.0,61.0,6.0,5,Queens,182995,36599.0,13784.03896103896,117.40544689680696,60.5,5.0,3.0,-171.10817034521045,181.10817034521045,2.0,-56.905446896806964,177.90544689680695
Rensselaer,61.0,36.0,65.0,43.0,32,Rensselaer,7983,249.46875,93.95576298701297,9.693078096611673,63.0,39.5,8.0,0.7276876135533072,78.27231238644669,5.0,38.767304758470814,87.23269524152919
Richmond,57.0,2.0,58.0,3.0,3,Richmond,25851,8617.0,3245.363636363636,56.96809314312386,57.5,2.5,2.0,-54.46809314312386,59.46809314312386,2.0,0.5319068568761409,114.46809314312387
Rockland,57.0,11.0,59.0,15.0,8,Rockland,23080,2885.0,1086.5584415584415,32.96298593207905,58.0,13.0,5.0,-69.40746483019763,95.40746483019763,3.0,8.555521101881425,107.44447889811858
Saratoga,58.0,41.0,62.0,51.0,39,Saratoga,10035,257.3076923076923,96.9080919080919,9.844190769590556,60.0,46.0,11.0,-8.143049232748055,100.14304923274806,5.0,35.38952307602361,84.61047692397639
Schenectady,56.0,40.0,60.0,43.0,10,Schenectady,8209,820.9,309.1701298701298,17.583234340420134,58.0,41.5,4.0,6.333531319159732,76.66646868084027,5.0,14.041914148949665,101.95808585105033
Schoharie,52.0,34.0,57.0,41.0,29,Schoharie,1160,40.0,15.064935064935064,3.881357374029743,54.5,37.5,8.0,21.974570503881026,53.025429496118974,6.0,42.85592787791077,66.14407212208923
Schuyler,29.0,32.0,32.0,36.0,16,Schuyler,876,54.75,20.62012987012987,4.540939315838725,30.5,34.0,5.0,22.64765171040319,45.35234828959681,4.0,21.418121368322552,39.58187863167745
Seneca,30.0,37.0,32.0,44.0,15,Seneca,1668,111.2,41.88051948051948,6.471516010991511,31.0,40.5,8.0,14.613935956033956,66.38606404396604,3.0,21.29272598351273,40.70727401648727
St Lawrence,41.0,63.0,53.0,78.0,138,St Lawrence,3837,27.804347826086957,10.47176736307171,3.2360110264138022,47.0,70.5,16.0,44.61191178868958,96.38808821131042,13.0,25.965928328310284,68.03407167168972
Steuben,22.0,28.0,29.0,37.0,68,Steuben,2740,40.294117647058826,15.17570664629488,3.8956009351953496,25.5,32.5,10.0,13.021995324023251,51.97800467597675,8.0,9.917596259218602,41.0824037407814
Suffolk,64.0,4.0,79.0,15.0,48,Suffolk,65213,1358.6041666666667,511.6820887445887,22.62039099451176,71.5,9.5,12.0,-126.22234596707057,145.22234596707057,16.0,-109.46312795609407,252.46312795609407
Sullivan,48.0,18.0,54.0,27.0,48,Sullivan,3813,79.4375,29.91801948051948,5.469736692064754,51.0,22.5,10.0,-4.84868346032377,49.84868346032377,7.0,31.855921577773362,70.14407842222664
Tioga,34.0,28.0,38.0,34.0,24,Tioga,1800,75.0,28.246753246753244,5.314767468737767,36.0,31.0,7.0,12.398313859417819,49.60168614058218,5.0,22.71308132815558,49.28691867184442
Tompkins,33.0,33.0,36.0,37.0,19,Tompkins,10634,559.6842105263158,210.79015721120984,14.5186141629017,34.5,35.0,5.0,-1.2965354072542539,71.29653540725425,4.0,5.462771674196599,63.5372283258034
Ulster,52.0,21.0,59.0,29.0,56,Ulster,16474,294.17857142857144,110.79452690166976,10.52589791427172,55.5,25.0,9.0,-22.366540614222743,72.36654061422274,8.0,13.39640834291312,97.60359165708688
Warren,57.0,49.0,63.0,57.0,43,Warren,2382,55.395348837209305,20.863183328299606,4.567623378552527,60.0,53.0,9.0,32.44569479651363,73.55430520348636,7.0,44.01331817506615,75.98668182493384
Washington,63.0,44.0,66.0,57.0,41,Washington,2014,49.1219512195122,18.500475134621475,4.301217866444511,64.5,50.5,14.0,20.39147493488842,80.60852506511158,4.0,55.89756426711098,73.10243573288902
Wayne,26.0,45.0,32.0,49.0,31,Wayne,2258,72.83870967741936,27.4327607875995,5.237629309869065,29.0,47.0,5.0,33.90592672532734,60.09407327467266,7.0,10.668297415458273,47.33170258454173
Westchester,60.0,9.0,63.0,16.0,22,Westchester,85187,3872.1363636363635,1458.33707201889,38.18817974215176,61.5,12.5,8.0,-140.25271896860704,165.25271896860704,4.0,-14.87635948430352,137.87635948430352
Wyoming,15.0,37.0,19.0,42.0,30,Wyoming,899,29.966666666666665,11.286147186147184,3.3594861491226875,17.0,39.5,6.0,29.421541552631936,49.578458447368064,5.0,8.601284627193282,25.39871537280672
Yates,26.0,36.0,30.0,40.0,17,Yates,815,47.94117647058823,18.055767761650113,4.24920789814409,28.0,38.0,5.0,27.376980254639776,48.623019745360224,5.0,17.376980254639776,38.623019745360224
