h4,p,table,candidate,party,ttl,pcnt,ttl_reg_voters,county
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 985897    
    Results for Kings county 1832 of 1843 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    34109                 
                    11.52                 

                    Letitia A. James                 
                    DEM                 
                    156722                 
                    52.92                 

                    Leecia R. Eve                 
                    DEM                 
                    4733                 
                    1.60                 

                    Zephyr Teachout                 
                    DEM                 
                    87305                 
                    29.48                 

                    Blank                 

                    12061                 
                    4.07                 

                    Void                 

                    921                 
                    0.31                 

                    Write-in                 

                    308                 
                    0.10",Blank,,12061,4.07,985897,Kings
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 985897    
    Results for Kings county 1832 of 1843 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    34109                 
                    11.52                 

                    Letitia A. James                 
                    DEM                 
                    156722                 
                    52.92                 

                    Leecia R. Eve                 
                    DEM                 
                    4733                 
                    1.60                 

                    Zephyr Teachout                 
                    DEM                 
                    87305                 
                    29.48                 

                    Blank                 

                    12061                 
                    4.07                 

                    Void                 

                    921                 
                    0.31                 

                    Write-in                 

                    308                 
                    0.10",Void,,921,0.31,985897,Kings
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 985897    
    Results for Kings county 1832 of 1843 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    34109                 
                    11.52                 

                    Letitia A. James                 
                    DEM                 
                    156722                 
                    52.92                 

                    Leecia R. Eve                 
                    DEM                 
                    4733                 
                    1.60                 

                    Zephyr Teachout                 
                    DEM                 
                    87305                 
                    29.48                 

                    Blank                 

                    12061                 
                    4.07                 

                    Void                 

                    921                 
                    0.31                 

                    Write-in                 

                    308                 
                    0.10",Write-in,,308,0.10,985897,Kings
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 4065      
  Results for Lewis county 38 of 38 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    214                 
                    43.58                 

                    Letitia A. James                 
                    DEM                 
                    75                 
                    15.27                 

                    Leecia R. Eve                 
                    DEM                 
                    23                 
                    4.68                 

                    Zephyr Teachout                 
                    DEM                 
                    143                 
                    29.12                 

                    Blank                 

                    31                 
                    6.31                 

                    Void                 

                    4                 
                    0.81                 

                    Write-in                 

                    1                 
                    0.20",Sean Patrick Maloney,DEM,214,43.58,4065,Lewis
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 4065      
  Results for Lewis county 38 of 38 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    214                 
                    43.58                 

                    Letitia A. James                 
                    DEM                 
                    75                 
                    15.27                 

                    Leecia R. Eve                 
                    DEM                 
                    23                 
                    4.68                 

                    Zephyr Teachout                 
                    DEM                 
                    143                 
                    29.12                 

                    Blank                 

                    31                 
                    6.31                 

                    Void                 

                    4                 
                    0.81                 

                    Write-in                 

                    1                 
                    0.20",Letitia A. James,DEM,75,15.27,4065,Lewis
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 4065      
  Results for Lewis county 38 of 38 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    214                 
                    43.58                 

                    Letitia A. James                 
                    DEM                 
                    75                 
                    15.27                 

                    Leecia R. Eve                 
                    DEM                 
                    23                 
                    4.68                 

                    Zephyr Teachout                 
                    DEM                 
                    143                 
                    29.12                 

                    Blank                 

                    31                 
                    6.31                 

                    Void                 

                    4                 
                    0.81                 

                    Write-in                 

                    1                 
                    0.20",Leecia R. Eve,DEM,23,4.68,4065,Lewis
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 4065      
  Results for Lewis county 38 of 38 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    214                 
                    43.58                 

                    Letitia A. James                 
                    DEM                 
                    75                 
                    15.27                 

                    Leecia R. Eve                 
                    DEM                 
                    23                 
                    4.68                 

                    Zephyr Teachout                 
                    DEM                 
                    143                 
                    29.12                 

                    Blank                 

                    31                 
                    6.31                 

                    Void                 

                    4                 
                    0.81                 

                    Write-in                 

                    1                 
                    0.20",Zephyr Teachout,DEM,143,29.12,4065,Lewis
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 4065      
  Results for Lewis county 38 of 38 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    214                 
                    43.58                 

                    Letitia A. James                 
                    DEM                 
                    75                 
                    15.27                 

                    Leecia R. Eve                 
                    DEM                 
                    23                 
                    4.68                 

                    Zephyr Teachout                 
                    DEM                 
                    143                 
                    29.12                 

                    Blank                 

                    31                 
                    6.31                 

                    Void                 

                    4                 
                    0.81                 

                    Write-in                 

                    1                 
                    0.20",Blank,,31,6.31,4065,Lewis
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 4065      
  Results for Lewis county 38 of 38 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    214                 
                    43.58                 

                    Letitia A. James                 
                    DEM                 
                    75                 
                    15.27                 

                    Leecia R. Eve                 
                    DEM                 
                    23                 
                    4.68                 

                    Zephyr Teachout                 
                    DEM                 
                    143                 
                    29.12                 

                    Blank                 

                    31                 
                    6.31                 

                    Void                 

                    4                 
                    0.81                 

                    Write-in                 

                    1                 
                    0.20",Void,,4,0.81,4065,Lewis
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 4065      
  Results for Lewis county 38 of 38 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    214                 
                    43.58                 

                    Letitia A. James                 
                    DEM                 
                    75                 
                    15.27                 

                    Leecia R. Eve                 
                    DEM                 
                    23                 
                    4.68                 

                    Zephyr Teachout                 
                    DEM                 
                    143                 
                    29.12                 

                    Blank                 

                    31                 
                    6.31                 

                    Void                 

                    4                 
                    0.81                 

                    Write-in                 

                    1                 
                    0.20",Write-in,,1,0.20,4065,Lewis
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 10330     
   Results for Livingston county 80 of 80 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    1118                 
                    46.76                 

                    Letitia A. James                 
                    DEM                 
                    315                 
                    13.17                 

                    Leecia R. Eve                 
                    DEM                 
                    68                 
                    2.84                 

                    Zephyr Teachout                 
                    DEM                 
                    786                 
                    32.87                 

                    Blank                 

                    93                 
                    3.89                 

                    Void                 

                    8                 
                    0.33                 

                    Write-in                 

                    3                 
                    0.13",Sean Patrick Maloney,DEM,1118,46.76,10330,Livingston
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 10330     
   Results for Livingston county 80 of 80 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    1118                 
                    46.76                 

                    Letitia A. James                 
                    DEM                 
                    315                 
                    13.17                 

                    Leecia R. Eve                 
                    DEM                 
                    68                 
                    2.84                 

                    Zephyr Teachout                 
                    DEM                 
                    786                 
                    32.87                 

                    Blank                 

                    93                 
                    3.89                 

                    Void                 

                    8                 
                    0.33                 

                    Write-in                 

                    3                 
                    0.13",Letitia A. James,DEM,315,13.17,10330,Livingston
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 10330     
   Results for Livingston county 80 of 80 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    1118                 
                    46.76                 

                    Letitia A. James                 
                    DEM                 
                    315                 
                    13.17                 

                    Leecia R. Eve                 
                    DEM                 
                    68                 
                    2.84                 

                    Zephyr Teachout                 
                    DEM                 
                    786                 
                    32.87                 

                    Blank                 

                    93                 
                    3.89                 

                    Void                 

                    8                 
                    0.33                 

                    Write-in                 

                    3                 
                    0.13",Leecia R. Eve,DEM,68,2.84,10330,Livingston
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 10330     
   Results for Livingston county 80 of 80 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    1118                 
                    46.76                 

                    Letitia A. James                 
                    DEM                 
                    315                 
                    13.17                 

                    Leecia R. Eve                 
                    DEM                 
                    68                 
                    2.84                 

                    Zephyr Teachout                 
                    DEM                 
                    786                 
                    32.87                 

                    Blank                 

                    93                 
                    3.89                 

                    Void                 

                    8                 
                    0.33                 

                    Write-in                 

                    3                 
                    0.13",Zephyr Teachout,DEM,786,32.87,10330,Livingston
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 10330     
   Results for Livingston county 80 of 80 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    1118                 
                    46.76                 

                    Letitia A. James                 
                    DEM                 
                    315                 
                    13.17                 

                    Leecia R. Eve                 
                    DEM                 
                    68                 
                    2.84                 

                    Zephyr Teachout                 
                    DEM                 
                    786                 
                    32.87                 

                    Blank                 

                    93                 
                    3.89                 

                    Void                 

                    8                 
                    0.33                 

                    Write-in                 

                    3                 
                    0.13",Blank,,93,3.89,10330,Livingston
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 10330     
   Results for Livingston county 80 of 80 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    1118                 
                    46.76                 

                    Letitia A. James                 
                    DEM                 
                    315                 
                    13.17                 

                    Leecia R. Eve                 
                    DEM                 
                    68                 
                    2.84                 

                    Zephyr Teachout                 
                    DEM                 
                    786                 
                    32.87                 

                    Blank                 

                    93                 
                    3.89                 

                    Void                 

                    8                 
                    0.33                 

                    Write-in                 

                    3                 
                    0.13",Void,,8,0.33,10330,Livingston
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 10330     
   Results for Livingston county 80 of 80 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    1118                 
                    46.76                 

                    Letitia A. James                 
                    DEM                 
                    315                 
                    13.17                 

                    Leecia R. Eve                 
                    DEM                 
                    68                 
                    2.84                 

                    Zephyr Teachout                 
                    DEM                 
                    786                 
                    32.87                 

                    Blank                 

                    93                 
                    3.89                 

                    Void                 

                    8                 
                    0.33                 

                    Write-in                 

                    3                 
                    0.13",Write-in,,3,0.13,10330,Livingston
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 11252     
   Results for Madison county 52 of 52 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    1341                 
                    43.81                 

                    Letitia A. James                 
                    DEM                 
                    443                 
                    14.47                 

                    Leecia R. Eve                 
                    DEM                 
                    105                 
                    3.43                 

                    Zephyr Teachout                 
                    DEM                 
                    1033                 
                    33.75                 

                    Blank                 

                    118                 
                    3.85                 

                    Void                 

                    15                 
                    0.49                 

                    Write-in                 

                    6                 
                    0.20",Sean Patrick Maloney,DEM,1341,43.81,11252,Madison
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 11252     
   Results for Madison county 52 of 52 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    1341                 
                    43.81                 

                    Letitia A. James                 
                    DEM                 
                    443                 
                    14.47                 

                    Leecia R. Eve                 
                    DEM                 
                    105                 
                    3.43                 

                    Zephyr Teachout                 
                    DEM                 
                    1033                 
                    33.75                 

                    Blank                 

                    118                 
                    3.85                 

                    Void                 

                    15                 
                    0.49                 

                    Write-in                 

                    6                 
                    0.20",Letitia A. James,DEM,443,14.47,11252,Madison
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 11252     
   Results for Madison county 52 of 52 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    1341                 
                    43.81                 

                    Letitia A. James                 
                    DEM                 
                    443                 
                    14.47                 

                    Leecia R. Eve                 
                    DEM                 
                    105                 
                    3.43                 

                    Zephyr Teachout                 
                    DEM                 
                    1033                 
                    33.75                 

                    Blank                 

                    118                 
                    3.85                 

                    Void                 

                    15                 
                    0.49                 

                    Write-in                 

                    6                 
                    0.20",Leecia R. Eve,DEM,105,3.43,11252,Madison
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 11252     
   Results for Madison county 52 of 52 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    1341                 
                    43.81                 

                    Letitia A. James                 
                    DEM                 
                    443                 
                    14.47                 

                    Leecia R. Eve                 
                    DEM                 
                    105                 
                    3.43                 

                    Zephyr Teachout                 
                    DEM                 
                    1033                 
                    33.75                 

                    Blank                 

                    118                 
                    3.85                 

                    Void                 

                    15                 
                    0.49                 

                    Write-in                 

                    6                 
                    0.20",Zephyr Teachout,DEM,1033,33.75,11252,Madison
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 11252     
   Results for Madison county 52 of 52 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    1341                 
                    43.81                 

                    Letitia A. James                 
                    DEM                 
                    443                 
                    14.47                 

                    Leecia R. Eve                 
                    DEM                 
                    105                 
                    3.43                 

                    Zephyr Teachout                 
                    DEM                 
                    1033                 
                    33.75                 

                    Blank                 

                    118                 
                    3.85                 

                    Void                 

                    15                 
                    0.49                 

                    Write-in                 

                    6                 
                    0.20",Blank,,118,3.85,11252,Madison
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 11252     
   Results for Madison county 52 of 52 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    1341                 
                    43.81                 

                    Letitia A. James                 
                    DEM                 
                    443                 
                    14.47                 

                    Leecia R. Eve                 
                    DEM                 
                    105                 
                    3.43                 

                    Zephyr Teachout                 
                    DEM                 
                    1033                 
                    33.75                 

                    Blank                 

                    118                 
                    3.85                 

                    Void                 

                    15                 
                    0.49                 

                    Write-in                 

                    6                 
                    0.20",Void,,15,0.49,11252,Madison
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 11252     
   Results for Madison county 52 of 52 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    1341                 
                    43.81                 

                    Letitia A. James                 
                    DEM                 
                    443                 
                    14.47                 

                    Leecia R. Eve                 
                    DEM                 
                    105                 
                    3.43                 

                    Zephyr Teachout                 
                    DEM                 
                    1033                 
                    33.75                 

                    Blank                 

                    118                 
                    3.85                 

                    Void                 

                    15                 
                    0.49                 

                    Write-in                 

                    6                 
                    0.20",Write-in,,6,0.20,11252,Madison
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 183008    
    Results for Monroe county 445 of 445 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    19212                 
                    42.27                 

                    Letitia A. James                 
                    DEM                 
                    8915                 
                    19.62                 

                    Leecia R. Eve                 
                    DEM                 
                    1669                 
                    3.67                 

                    Zephyr Teachout                 
                    DEM                 
                    13289                 
                    29.24                 

                    Blank                 

                    2098                 
                    4.62                 

                    Void                 

                    211                 
                    0.46                 

                    Write-in                 

                    52                 
                    0.11",Sean Patrick Maloney,DEM,19212,42.27,183008,Monroe
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 183008    
    Results for Monroe county 445 of 445 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    19212                 
                    42.27                 

                    Letitia A. James                 
                    DEM                 
                    8915                 
                    19.62                 

                    Leecia R. Eve                 
                    DEM                 
                    1669                 
                    3.67                 

                    Zephyr Teachout                 
                    DEM                 
                    13289                 
                    29.24                 

                    Blank                 

                    2098                 
                    4.62                 

                    Void                 

                    211                 
                    0.46                 

                    Write-in                 

                    52                 
                    0.11",Letitia A. James,DEM,8915,19.62,183008,Monroe
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 183008    
    Results for Monroe county 445 of 445 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    19212                 
                    42.27                 

                    Letitia A. James                 
                    DEM                 
                    8915                 
                    19.62                 

                    Leecia R. Eve                 
                    DEM                 
                    1669                 
                    3.67                 

                    Zephyr Teachout                 
                    DEM                 
                    13289                 
                    29.24                 

                    Blank                 

                    2098                 
                    4.62                 

                    Void                 

                    211                 
                    0.46                 

                    Write-in                 

                    52                 
                    0.11",Leecia R. Eve,DEM,1669,3.67,183008,Monroe
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 183008    
    Results for Monroe county 445 of 445 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    19212                 
                    42.27                 

                    Letitia A. James                 
                    DEM                 
                    8915                 
                    19.62                 

                    Leecia R. Eve                 
                    DEM                 
                    1669                 
                    3.67                 

                    Zephyr Teachout                 
                    DEM                 
                    13289                 
                    29.24                 

                    Blank                 

                    2098                 
                    4.62                 

                    Void                 

                    211                 
                    0.46                 

                    Write-in                 

                    52                 
                    0.11",Zephyr Teachout,DEM,13289,29.24,183008,Monroe
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 183008    
    Results for Monroe county 445 of 445 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    19212                 
                    42.27                 

                    Letitia A. James                 
                    DEM                 
                    8915                 
                    19.62                 

                    Leecia R. Eve                 
                    DEM                 
                    1669                 
                    3.67                 

                    Zephyr Teachout                 
                    DEM                 
                    13289                 
                    29.24                 

                    Blank                 

                    2098                 
                    4.62                 

                    Void                 

                    211                 
                    0.46                 

                    Write-in                 

                    52                 
                    0.11",Blank,,2098,4.62,183008,Monroe
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 183008    
    Results for Monroe county 445 of 445 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    19212                 
                    42.27                 

                    Letitia A. James                 
                    DEM                 
                    8915                 
                    19.62                 

                    Leecia R. Eve                 
                    DEM                 
                    1669                 
                    3.67                 

                    Zephyr Teachout                 
                    DEM                 
                    13289                 
                    29.24                 

                    Blank                 

                    2098                 
                    4.62                 

                    Void                 

                    211                 
                    0.46                 

                    Write-in                 

                    52                 
                    0.11",Void,,211,0.46,183008,Monroe
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 183008    
    Results for Monroe county 445 of 445 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    19212                 
                    42.27                 

                    Letitia A. James                 
                    DEM                 
                    8915                 
                    19.62                 

                    Leecia R. Eve                 
                    DEM                 
                    1669                 
                    3.67                 

                    Zephyr Teachout                 
                    DEM                 
                    13289                 
                    29.24                 

                    Blank                 

                    2098                 
                    4.62                 

                    Void                 

                    211                 
                    0.46                 

                    Write-in                 

                    52                 
                    0.11",Write-in,,52,0.11,183008,Monroe
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 8971      
  Results for Montgomery county 24 of 24 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    626                 
                    41.13                 

                    Letitia A. James                 
                    DEM                 
                    173                 
                    11.37                 

                    Leecia R. Eve                 
                    DEM                 
                    77                 
                    5.06                 

                    Zephyr Teachout                 
                    DEM                 
                    569                 
                    37.39                 

                    Blank                 

                    67                 
                    4.40                 

                    Void                 

                    9                 
                    0.59                 

                    Write-in                 

                    1                 
                    0.07",Sean Patrick Maloney,DEM,626,41.13,8971,Montgomery
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 8971      
  Results for Montgomery county 24 of 24 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    626                 
                    41.13                 

                    Letitia A. James                 
                    DEM                 
                    173                 
                    11.37                 

                    Leecia R. Eve                 
                    DEM                 
                    77                 
                    5.06                 

                    Zephyr Teachout                 
                    DEM                 
                    569                 
                    37.39                 

                    Blank                 

                    67                 
                    4.40                 

                    Void                 

                    9                 
                    0.59                 

                    Write-in                 

                    1                 
                    0.07",Letitia A. James,DEM,173,11.37,8971,Montgomery
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 8971      
  Results for Montgomery county 24 of 24 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    626                 
                    41.13                 

                    Letitia A. James                 
                    DEM                 
                    173                 
                    11.37                 

                    Leecia R. Eve                 
                    DEM                 
                    77                 
                    5.06                 

                    Zephyr Teachout                 
                    DEM                 
                    569                 
                    37.39                 

                    Blank                 

                    67                 
                    4.40                 

                    Void                 

                    9                 
                    0.59                 

                    Write-in                 

                    1                 
                    0.07",Leecia R. Eve,DEM,77,5.06,8971,Montgomery
