h4,p,table,candidate,party,ttl,pcnt,ttl_reg_voters,county
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 532297    
    Results for Bronx county 990 of 999 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    24508                 
                    19.45                 

                    Letitia A. James                 
                    DEM                 
                    79076                 
                    62.77                 

                    Leecia R. Eve                 
                    DEM                 
                    3401                 
                    2.70                 

                    Zephyr Teachout                 
                    DEM                 
                    12093                 
                    9.60                 

                    Blank                 

                    6172                 
                    4.90                 

                    Void                 

                    573                 
                    0.45                 

                    Write-in                 

                    155                 
                    0.12",Letitia A. James,DEM,79076,62.77,532297,Bronx
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 532297    
    Results for Bronx county 990 of 999 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    24508                 
                    19.45                 

                    Letitia A. James                 
                    DEM                 
                    79076                 
                    62.77                 

                    Leecia R. Eve                 
                    DEM                 
                    3401                 
                    2.70                 

                    Zephyr Teachout                 
                    DEM                 
                    12093                 
                    9.60                 

                    Blank                 

                    6172                 
                    4.90                 

                    Void                 

                    573                 
                    0.45                 

                    Write-in                 

                    155                 
                    0.12",Leecia R. Eve,DEM,3401,2.70,532297,Bronx
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 532297    
    Results for Bronx county 990 of 999 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    24508                 
                    19.45                 

                    Letitia A. James                 
                    DEM                 
                    79076                 
                    62.77                 

                    Leecia R. Eve                 
                    DEM                 
                    3401                 
                    2.70                 

                    Zephyr Teachout                 
                    DEM                 
                    12093                 
                    9.60                 

                    Blank                 

                    6172                 
                    4.90                 

                    Void                 

                    573                 
                    0.45                 

                    Write-in                 

                    155                 
                    0.12",Zephyr Teachout,DEM,12093,9.60,532297,Bronx
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 532297    
    Results for Bronx county 990 of 999 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    24508                 
                    19.45                 

                    Letitia A. James                 
                    DEM                 
                    79076                 
                    62.77                 

                    Leecia R. Eve                 
                    DEM                 
                    3401                 
                    2.70                 

                    Zephyr Teachout                 
                    DEM                 
                    12093                 
                    9.60                 

                    Blank                 

                    6172                 
                    4.90                 

                    Void                 

                    573                 
                    0.45                 

                    Write-in                 

                    155                 
                    0.12",Blank,,6172,4.90,532297,Bronx
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 532297    
    Results for Bronx county 990 of 999 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    24508                 
                    19.45                 

                    Letitia A. James                 
                    DEM                 
                    79076                 
                    62.77                 

                    Leecia R. Eve                 
                    DEM                 
                    3401                 
                    2.70                 

                    Zephyr Teachout                 
                    DEM                 
                    12093                 
                    9.60                 

                    Blank                 

                    6172                 
                    4.90                 

                    Void                 

                    573                 
                    0.45                 

                    Write-in                 

                    155                 
                    0.12",Void,,573,0.45,532297,Bronx
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 532297    
    Results for Bronx county 990 of 999 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    24508                 
                    19.45                 

                    Letitia A. James                 
                    DEM                 
                    79076                 
                    62.77                 

                    Leecia R. Eve                 
                    DEM                 
                    3401                 
                    2.70                 

                    Zephyr Teachout                 
                    DEM                 
                    12093                 
                    9.60                 

                    Blank                 

                    6172                 
                    4.90                 

                    Void                 

                    573                 
                    0.45                 

                    Write-in                 

                    155                 
                    0.12",Write-in,,155,0.12,532297,Bronx
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 42121     
   Results for Broome county 141 of 141 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    4190                 
                    42.14                 

                    Letitia A. James                 
                    DEM                 
                    1546                 
                    15.55                 

                    Leecia R. Eve                 
                    DEM                 
                    376                 
                    3.78                 

                    Zephyr Teachout                 
                    DEM                 
                    3432                 
                    34.51                 

                    Blank                 

                    301                 
                    3.03                 

                    Void                 

                    72                 
                    0.72                 

                    Write-in                 

                    27                 
                    0.27",Sean Patrick Maloney,DEM,4190,42.14,42121,Broome
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 42121     
   Results for Broome county 141 of 141 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    4190                 
                    42.14                 

                    Letitia A. James                 
                    DEM                 
                    1546                 
                    15.55                 

                    Leecia R. Eve                 
                    DEM                 
                    376                 
                    3.78                 

                    Zephyr Teachout                 
                    DEM                 
                    3432                 
                    34.51                 

                    Blank                 

                    301                 
                    3.03                 

                    Void                 

                    72                 
                    0.72                 

                    Write-in                 

                    27                 
                    0.27",Letitia A. James,DEM,1546,15.55,42121,Broome
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 42121     
   Results for Broome county 141 of 141 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    4190                 
                    42.14                 

                    Letitia A. James                 
                    DEM                 
                    1546                 
                    15.55                 

                    Leecia R. Eve                 
                    DEM                 
                    376                 
                    3.78                 

                    Zephyr Teachout                 
                    DEM                 
                    3432                 
                    34.51                 

                    Blank                 

                    301                 
                    3.03                 

                    Void                 

                    72                 
                    0.72                 

                    Write-in                 

                    27                 
                    0.27",Leecia R. Eve,DEM,376,3.78,42121,Broome
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 42121     
   Results for Broome county 141 of 141 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    4190                 
                    42.14                 

                    Letitia A. James                 
                    DEM                 
                    1546                 
                    15.55                 

                    Leecia R. Eve                 
                    DEM                 
                    376                 
                    3.78                 

                    Zephyr Teachout                 
                    DEM                 
                    3432                 
                    34.51                 

                    Blank                 

                    301                 
                    3.03                 

                    Void                 

                    72                 
                    0.72                 

                    Write-in                 

                    27                 
                    0.27",Zephyr Teachout,DEM,3432,34.51,42121,Broome
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 42121     
   Results for Broome county 141 of 141 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    4190                 
                    42.14                 

                    Letitia A. James                 
                    DEM                 
                    1546                 
                    15.55                 

                    Leecia R. Eve                 
                    DEM                 
                    376                 
                    3.78                 

                    Zephyr Teachout                 
                    DEM                 
                    3432                 
                    34.51                 

                    Blank                 

                    301                 
                    3.03                 

                    Void                 

                    72                 
                    0.72                 

                    Write-in                 

                    27                 
                    0.27",Blank,,301,3.03,42121,Broome
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 42121     
   Results for Broome county 141 of 141 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    4190                 
                    42.14                 

                    Letitia A. James                 
                    DEM                 
                    1546                 
                    15.55                 

                    Leecia R. Eve                 
                    DEM                 
                    376                 
                    3.78                 

                    Zephyr Teachout                 
                    DEM                 
                    3432                 
                    34.51                 

                    Blank                 

                    301                 
                    3.03                 

                    Void                 

                    72                 
                    0.72                 

                    Write-in                 

                    27                 
                    0.27",Void,,72,0.72,42121,Broome
